lat,long
 'coordinate,oordinates']
 -23.09777775,-47.00948067
 -20.9167,-47
 -23.0167,-46.9833
 -23.0167,-46.9833
 -19.59340511,-46.94044196
 -19.59340511,-46.94044196
 -23.6042,-46.9194
 -23.45,-46.9167
 -23.45,-46.9167
 -16.35777778,-46.90583333
 -16.35777778,-46.90583333
 -21.6011,-46.89981
 -23.05548422,-46.89170868
 -23.513,-46.8755
 -23.49827285,-46.85331092
 -23.5386,-46.8448
 -23.5386,-46.8448
 -23.5363449,-46.8414341
 -23.6546204,-46.7900993
 -21.9667,-46.7833
 -23.47532069,-46.77724243
 -23.64113,-46.77273
 -23.6543405,-46.7692574
 -23.528,-46.7675
 -20.75023844,-46.76078387
 -20.75023844,-46.76078387
 -23.6587767,-46.7321721
 -23.6587767,-46.7321721
 -23.67064,-46.72105
 -23.58865155,-46.72003131
 -23.5886726,-46.71998753
 -23.5886726,-46.71998753
 -23.58863532,-46.71995665
 -23.58856194,-46.71990649
 -23.58856194,-46.71990649
 -23.58856194,-46.71990649
 -23.58852532,-46.71986941
 -23.63518977,-46.71626921
 -23.63518977,-46.71626921
 -23.5180341,-46.71554242
 -23.57049812,-46.7121076
 -23.57203126,-46.70388937
 -23.56726,-46.70193
 -23.65,-46.7
 -21.3,-46.7
 -21.3,-46.7
 -23.62407899,-46.69920735
 -23.62337228,-46.69897556
 -23.54298909,-46.6976058
 -23.62231464,-46.69634047
 -23.6293,-46.69522
 -23.59410903,-46.69296953
 -23.60602,-46.6918
 -23.59277778,-46.69166667
 -23.5525,-46.6914
 -23.5695,-46.6913399
 -23.57034701,-46.69126348
 -23.569236,-46.689686
 -23.56676882,-46.68664419
 -23.5572899,-46.68663
 -23.584301,-46.6825905
 -23.59032523,-46.68255734
 -23.5881041,-46.68143054
 -23.5501721,-46.6806401
 -23.36991733,-46.67892334
 -23.60564841,-46.67571141
 -23.58423333,-46.6750773
 -23.61277295,-46.66967646
 -23.53666274,-46.6692565
 -23.56636507,-46.66884722
 -23.61027128,-46.66668044
 -23.61450041,-46.6660331
 -23.60997,-46.66549
 -23.54860553,-46.66522264
 -23.55876,-46.66189
 -23.61531163,-46.66073799
 -23.62585401,-46.66003651
 -23.556268,-46.65995637
 -23.62825612,-46.65943476
 -23.55603643,-46.65859474
 -23.5430724,-46.6573905
 -23.58554193,-46.65704727
 -23.56138889,-46.65638889
 -23.53931878,-46.65259908
 -23.54864166,-46.6466843
 -23.55622,-46.64656
 -23.54398976,-46.64493123
 -23.5320004,-46.64270351
 -23.5320004,-46.64270351
 -23.55039464,-46.64219286
 -23.56704796,-46.64191613
 -23.5733,-46.6417
 -22.48305737,-46.63894201
 -23.6323166,-46.6379431
 -23.55019704,-46.63681809
 -23.54455,-46.63629
 -22.4760748,-46.6345387
 -23.5505199,-46.6333094
 -23.5505199,-46.6333094
 -23.5505199,-46.6333094
 -23.5833,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
 -23.55,-46.6333
