pais,coordinates
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-53, -11]"
brasil,"[-52.7667, -26.4]"
brasil,"[-52.3667, -21.7]"
brasil,"[-52.350428, -31.7786948]"
brasil,"[-52.3425, -31.7719]"
brasil,"[-52.2106, -3.199]"
brasil,"[-52.2106, -3.199]"
brasil,"[-52.1, -21.7667]"
brasil,"[-52.01331068, -2.88456068]"
brasil,"[-51.9369, -23.42573]"
brasil,"[-51.85445509, -21.87909787]"
brasil,"[-51.8333, -21.8667]"
brasil,"[-51.81263856, -30.87335745]"
brasil,"[-51.7167, -17.8833]"
brasil,"[-51.7167, -17.8833]"
brasil,"[-51.6667, -23.2167]"
brasil,"[-51.65, -1.41667]"
brasil,"[-51.496133, -29.2623584]"
brasil,"[-51.44532, -23.40492]"
brasil,"[-51.4205444, -22.10774433]"
brasil,"[-51.4071689, -22.1160436]"
brasil,"[-51.3889, -22.1256]"
brasil,"[-51.3889, -22.1256]"
brasil,"[-51.2345314, -30.0313892]"
brasil,"[-51.23101627, -30.06243524]"
brasil,"[-51.20083757, -29.97805972]"
brasil,"[-51.1833, -0.05]"
brasil,"[-51.1833, -0.05]"
brasil,"[-51.18223025, -29.91030523]"
brasil,"[-51.18061943, -23.32976174]"
brasil,"[-51.17924538, -23.29233236]"
brasil,"[-51.1695824, -23.3044524]"
brasil,"[-51.16853905, -23.32969007]"
brasil,"[-51.14817846, -29.73510656]"
brasil,"[-51.1469, -29.76]"
brasil,"[-51.14624847, -29.76598204]"
brasil,"[-51.13007145, -29.68350193]"
brasil,"[-51.08082483, -0.00848421]"
brasil,"[-51.06972744, 0.02540125]"
brasil,"[-51.06972744, 0.03992598]"
brasil,"[-51.06844425, 0.03433227]"
brasil,"[-51.068078, 0.0305094]"
brasil,"[-51.0667, -21.6833]"
brasil,"[-51.06339062, 0.03115513]"
brasil,"[-51.06336283, 0.03588261]"
brasil,"[-51.0632147, 0.03098763]"
brasil,"[-51.0603, 0.0342]"
brasil,"[-51.0603, 0.0342]"
brasil,"[-51.05697897, 0.02586278]"
brasil,"[-51.05611027, 0.0701707]"
brasil,"[-51.05426362, 0.03673476]"
brasil,"[-50.978904, -29.62867]"
brasil,"[-50.87972649, -21.79501482]"
brasil,"[-50.64543307, -21.25511173]"
brasil,"[-50.58388889, -25.02388889]"
brasil,"[-50.53681707, -29.83582013]"
brasil,"[-50.2333, -20.2667]"
brasil,"[-50.2, -22.7833]"
brasil,"[-50.19658685, -20.14715796]"
brasil,"[-50.1459559, -21.0712659]"
brasil,"[-50.02352, -8.04095686]"
brasil,"[-49.9679958, -22.2370648]"
brasil,"[-49.95617329, -20.42013768]"
brasil,"[-49.94108158, -21.7971658]"
brasil,"[-49.94108158, -21.7971658]"
brasil,"[-49.9043, -6.0707]"
brasil,"[-49.9043, -6.0707]"
brasil,"[-49.818028, -15.336886]"
brasil,"[-49.75, -21.6667]"
brasil,"[-49.75, -21.6667]"
brasil,"[-49.5, -16.6667]"
brasil,"[-49.48548032, -16.66071166]"
brasil,"[-49.4667, -20.9333]"
brasil,"[-49.4667, -20.7667]"
brasil,"[-49.44070731, -21.58572858]"
brasil,"[-49.40744, -25.43204]"
brasil,"[-49.3888, -16.67894]"
brasil,"[-49.3833, -20.8]"
brasil,"[-49.3833, -20.8]"
brasil,"[-49.3833, -20.8]"
brasil,"[-49.3833, -20.8]"
brasil,"[-49.3833, -20.8]"
brasil,"[-49.3833, -20.8]"
brasil,"[-49.36444791, -16.60421274]"
brasil,"[-49.34224708, -24.11580317]"
brasil,"[-49.34224708, -24.11580317]"
brasil,"[-49.3167, -20.4833]"
brasil,"[-49.3167, -20.4833]"
brasil,"[-49.3108959, -16.7181257]"
brasil,"[-49.30892491, -16.66619024]"
brasil,"[-49.30695, -16.71274]"
brasil,"[-49.30389404, -16.74898913]"
brasil,"[-49.30389404, -16.74898913]"
brasil,"[-49.30101871, -16.70523877]"
brasil,"[-49.29463, -16.64864]"
brasil,"[-49.29413366, -16.66639889]"
brasil,"[-49.2918964, -16.7065122]"
brasil,"[-49.29181539, -16.69499987]"
brasil,"[-49.28908167, -16.65769667]"
brasil,"[-49.28904667, -16.65775833]"
brasil,"[-49.28904667, -16.65775833]"
brasil,"[-49.28535461, -16.76713158]"
brasil,"[-49.2833, -21.2167]"
brasil,"[-49.28229132, -25.44004453]"
brasil,"[-49.28018332, -16.7139321]"
brasil,"[-49.2786658, -16.72752686]"
brasil,"[-49.276944, -25.448333]"
brasil,"[-49.27672265, -25.44838175]"
brasil,"[-49.27554309, -16.78520554]"
brasil,"[-49.2754225, -16.7183731]"
brasil,"[-49.27383081, -16.71618774]"
brasil,"[-49.27375019, -25.43062747]"
brasil,"[-49.27297843, -16.73211705]"
brasil,"[-49.2722885, -16.6479273]"
brasil,"[-49.2719821, -16.6923109]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2707, -16.6869]"
brasil,"[-49.2699, -25.4346]"
brasil,"[-49.2699, -25.4346]"
brasil,"[-49.2699, -25.4346]"
brasil,"[-49.2699, -25.4346]"
brasil,"[-49.26960049, -16.69547682]"
brasil,"[-49.26374674, -16.69920664]"
brasil,"[-49.26350546, -16.69838459]"
brasil,"[-49.2632246, -16.7155111]"
brasil,"[-49.2631921, -16.6971194]"
brasil,"[-49.26319013, -16.70476767]"
brasil,"[-49.26133743, -16.69827016]"
brasil,"[-49.26009893, -16.71798063]"
brasil,"[-49.26009893, -16.71798063]"
brasil,"[-49.2585761, -16.6591127]"
brasil,"[-49.25751, -25.42276]"
brasil,"[-49.25681, -16.6420299]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.255, -16.6799]"
brasil,"[-49.25446123, -16.69746305]"
brasil,"[-49.24929, -16.680567]"
brasil,"[-49.24866614, -16.72499342]"
brasil,"[-49.24783242, -16.68375162]"
brasil,"[-49.24783242, -16.68375162]"
brasil,"[-49.23840555, -16.70327219]"
brasil,"[-49.2368417, -16.713114]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.23487689, -16.6961564]"
brasil,"[-49.2348437, -16.69619802]"
brasil,"[-49.2348437, -16.69619802]"
brasil,"[-49.2348437, -16.69619802]"
brasil,"[-49.2348437, -16.69619802]"
brasil,"[-49.233889, -16.698889]"
brasil,"[-49.233889, -16.698889]"
brasil,"[-49.2325165, -16.6700565]"
brasil,"[-49.2325164, -16.6700563]"
brasil,"[-49.2325154, -16.6700574]"
brasil,"[-49.2324812, -16.6700761]"
brasil,"[-49.2324654, -16.6700891]"
brasil,"[-49.2324254, -16.6700815]"
brasil,"[-49.232401, -16.6701126]"
brasil,"[-49.2324, -16.6700218]"
brasil,"[-49.2323636, -16.6700963]"
brasil,"[-49.2323484, -16.67013]"
brasil,"[-49.22840344, -16.64351005]"
brasil,"[-49.22824183, -16.65081574]"
brasil,"[-49.22697652, -16.64103678]"
brasil,"[-49.22695532, -16.64105488]"
brasil,"[-49.22695532, -16.64105488]"
brasil,"[-49.22695136, -16.64107069]"
brasil,"[-49.22693634, -16.64106004]"
brasil,"[-49.22692997, -16.64104856]"
brasil,"[-49.22692235, -16.64104803]"
brasil,"[-49.22690084, -16.64102282]"
brasil,"[-49.22690084, -16.64102282]"
brasil,"[-49.22689638, -16.64102796]"
brasil,"[-49.2249627, -16.73084136]"
brasil,"[-49.22360295, -16.64986163]"
brasil,"[-49.21875, -11.86735091]"
