pais,coordinates
uruguay,"{u'type': u'Point', u'coordinates': [-58.5, -34.5833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.5, -34.4833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.49868, -34.58228]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.49133113, -34.56450853]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.49133113, -34.56450853]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.48979, -34.59717]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4881859, -34.4845047]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.48333333, -34.55]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.48333333, -34.5]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.48333, -34.50833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4833, -37.15]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4833, -37.15]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4833, -32.4667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.48155049, -34.68385348]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.480133, -34.6818599]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.47944444, -34.64472222]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.47804934, -34.53491885]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4741, -34.51638]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.46853011, -34.52280523]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.46666667, -34.68333333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.46442651, -34.5987259]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.46105, -34.826869]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45637977, -34.56243206]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45625191, -34.56275835]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45437062, -34.67545621]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45364042, -34.58698257]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45120227, -34.57999187]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45, -34.5833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45, -34.55]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.45, -34.55]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.44258678, -34.58270749]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4412144, -34.5983809]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.440695, -34.615954]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.440695, -34.615954]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4399, -34.59338]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.43951874, -34.58643665]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.43729, -34.58627]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.437267, -34.595937]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.43631, -34.59537]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.43548987, -34.59606617]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.43529932, -34.61840025]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.43309, -34.58662]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.42808194, -34.58833427]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.42565392, -34.58701848]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.42434883, -34.5955048]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.42266773, -34.63529251]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.42161321, -34.58117547]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.41939166, -34.57166826]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4167, -34.6833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.41380576, -34.55681929]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4134193, -34.6130538]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4133966, -34.55686818]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4119271, -34.5713966]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4117135, -34.57030321]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4078, -34.7153]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.40323632, -34.61641771]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4026743, -34.8264975]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4026497, -34.8264935]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.40166667, -34.58194444]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4, -35.2667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4, -34.7667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4, -34.7667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.4, -34.6333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.39836359, -34.61867614]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3975653, -34.6010606]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3950391, -34.7230559]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.39306, -34.62291]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3920076, -34.58263498]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38973, -34.59902]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3862, -34.824]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3862, -34.824]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3862, -34.824]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3858199, -34.60397422]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38350122, -34.75010379]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3834898, -34.6031036]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38333333, -34.8]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38333333, -34.76666667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3833, -34.7833]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38307, -34.6037]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38307, -34.6037]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.381715, -34.6037618]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3817, -34.6033]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3817, -34.6033]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3815591, -34.6036844]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3815591, -34.6036844]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3815591, -34.6036844]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3815591, -34.6036844]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.38047344, -34.60398958]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.37505237, -34.60619339]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3734, -34.6086]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3732, -34.6084]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3732, -34.6084]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3732, -34.6084]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3732, -34.6084]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3732, -34.6084]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3719, -34.6083]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.3719, -34.6083]}"
uruguay,"{u'type': u'Point', u'coordinates': [-58.37138889, -34.59527778]}"
