pais,coordinates
belgica,"[4.33930286, 50.90257775]"
belgica,"[4.34122641, 50.8030633]"
belgica,"[4.34137906, 50.8950517]"
belgica,"[4.34137906, 50.8950517]"
belgica,"[4.34137906, 50.8950517]"
belgica,"[4.34137906, 50.8950517]"
belgica,"[4.34137906, 50.8950517]"
belgica,"[4.34137906, 50.8950517]"
belgica,"[4.34138889, 50.895]"
belgica,"[4.34148788, 50.89492649]"
belgica,"[4.34230328, 50.8946558]"
belgica,"[4.3428, 50.91315]"
belgica,"[4.3428, 50.91315]"
belgica,"[4.34442, 50.897]"
belgica,"[4.34472, 50.83018]"
belgica,"[4.34472, 50.83018]"
belgica,"[4.34477175, 51.20181039]"
belgica,"[4.34545795, 50.83062841]"
belgica,"[4.34561, 50.85262]"
belgica,"[4.34586629, 50.84261301]"
belgica,"[4.34623003, 50.85282931]"
belgica,"[4.34623003, 50.85282931]"
belgica,"[4.34623003, 50.85282931]"
belgica,"[4.34674, 50.8452]"
belgica,"[4.34750676, 50.84830962]"
belgica,"[4.34750717, 50.85053566]"
belgica,"[4.34762523, 50.84827746]"
belgica,"[4.34780957, 50.84831295]"
belgica,"[4.34826058, 50.86560575]"
belgica,"[4.3487, 50.84778]"
belgica,"[4.34937324, 50.84823686]"
belgica,"[4.34979829, 50.84507364]"
belgica,"[4.34994204, 50.85069325]"
belgica,"[4.35, 50.5]"
belgica,"[4.35, 50.5]"
belgica,"[4.35, 50.5]"
belgica,"[4.35, 50.5]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
belgica,"[4.35, 50.85]"
